住所,lat,lon,位置精度,調査年,基準地m2単価円,坪単価万円,変動率,地積m2,前面道路幅員m,用途地域,区域区分,建蔽率,容積率,最寄駅,駅距離m,利用現況
静岡県 浜松市中央区田町３２４番７,34.707368,137.7308147,exact,2025,257000,85.0,2.4,106,20.0,商業,市街化,80,600,浜松,600,"住宅,店舗"
静岡県 浜松市中央区白羽町字大畑７０１番,34.6792161,137.7391647,exact,2025,36900,12.2,0.0,264,5.2,_,調区,60,200,浜松,3000,住宅
静岡県 浜松市中央区石原町字石原２９番,34.690043,137.77379,exact,2025,43900,14.5,-0.2,355,5.0,_,調区,60,200,浜松,4100,住宅
静岡県 浜松市中央区笠井町字西浦５２３番６,34.7697925,137.7970028,exact,2025,64800,21.4,0.5,196,6.8,1住居,市街化,60,200,浜松,10000,住宅
静岡県 浜松市中央区篠ケ瀬町字西藪田１３６４番１,34.7225808,137.7768153,exact,2025,97400,32.2,1.0,342,8.0,近商,市街化,80,300,天竜川,600,店舗
静岡県 浜松市中央区篠原町字西前２０５６０番,34.6839397,137.6611833,exact,2025,46500,15.4,0.0,267,5.5,1住居,市街化,60,200,浜松,7700,住宅
静岡県 浜松市中央区肴町３１６番３８,34.7072042,137.7296536,exact,2025,336000,111.1,3.4,277,10.0,商業,市街化,80,600,浜松,650,店舗
静岡県 浜松市中央区舘山寺町字将監畑２４５５番１,34.7605939,137.6134936,exact,2025,30400,10.0,-1.9,217,4.0,1住居,市街化,60,200,浜松,16000,住宅
静岡県 浜松市中央区舞阪町弁天島字千鳥園３１５４番４,34.6948486,137.6041567,exact,2025,25300,8.4,-0.4,145,4.2,1住居,市街化,60,200,弁天島,800,住宅
静岡県 浜松市中央区舞阪町浜田６９８番,34.6823269,137.6262022,exact,2025,37500,12.4,-0.3,183,4.0,準工,市街化,60,200,舞阪,550,住宅
静岡県 浜松市中央区舞阪町舞阪字仲町１９７６番１,34.684555,137.6110872,exact,2025,32300,10.7,-0.9,115,5.6,近商,市街化,80,200,弁天島,1100,"住宅,店舗"
静岡県 浜松市中央区芳川町字大橋前６４０番２,34.6875544,137.7655167,exact,2025,64200,21.2,0.0,242,6.9,1住居,市街化,60,200,浜松,3800,住宅
静岡県 浜松市中央区萩丘４丁目５１５番２０,34.7477417,137.7365147,exact,2025,88800,29.4,1.0,180,6.0,2中専,市街化,60,200,浜松,5600,住宅
静岡県 浜松市中央区葵東２丁目３７０番４７,34.7612342,137.7211594,exact,2025,102000,33.7,1.0,495,17.7,近商,市街化,80,300,浜松,7200,空地
静岡県 浜松市中央区薬師町字村中１０７番２外,34.7244619,137.7809453,exact,2025,81700,27.0,0.7,255,5.0,1住居,市街化,60,200,浜松,5100,住宅
静岡県 浜松市中央区蜆塚３丁目１９７２５番１５外,34.7138805,137.7052992,exact,2025,134000,44.3,0.0,357,6.0,1中専,市街化,60,200,浜松,3400,住宅
静岡県 浜松市中央区西ケ崎町字ヲキ１６１５番１,34.7724617,137.7652042,exact,2025,61400,20.3,0.0,287,4.4,_,調区,60,200,積志,800,住宅
静岡県 浜松市中央区西伊場町２７７０番２,34.70328,137.7052883,exact,2025,95500,31.6,1.4,247,6.0,1中専,市街化,60,200,浜松,3000,住宅
